BOARD:    UNO R3
IDE:      1.8.19


Arduino\libraries\MultiMap\examples\multimap_BS_compare\multimap_BS_compare.ino
MULTIMAP_LIB_VERSION: 0.3.0

size	t1	t2	ratio
4	6328	5992	94.69
5	7008	6744	96.23
6	7700	7524	97.71
7	8400	8320	99.05
8	9116	9092	99.74
9	9852	9888	100.37
10	10592	10688	100.91
11	11352	11496	101.27
12	12128	12304	101.45
13	12908	13120	101.64
14	13716	13924	101.52
15	14528	14736	101.43
16	15360	15556	101.28
17	16204	16368	101.01
18	17056	17196	100.82
19	17924	18032	100.60
20	18808	18868	100.32
21	19708	19696	99.94
22	20620	20532	99.57
23	21544	21372	99.20
24	22488	22208	98.75
25	23440	23048	98.33
26	24400	23888	97.90
27	25388	24724	97.38
28	26380	25564	96.91
29	27388	26408	96.42
30	28412	27240	95.87
31	29448	28088	95.38
32	30500	28928	94.85
33	31564	29776	94.34
34	32644	30628	93.82
35	33732	31488	93.35
36	34836	32344	92.85
37	35956	33200	92.34
38	37088	34060	91.84
39	38240	34924	91.33
40	39396	35784	90.83
41	40568	36652	90.35
42	41760	37512	89.83
43	42960	38368	89.31
44	44184	39232	88.79
45	45404	40108	88.34
46	46648	40964	87.82
47	47904	41832	87.32
48	49180	42700	86.82
49	50468	43572	86.34
50	51764	44428	85.83
51	53072	45296	85.35
52	54404	46152	84.83
53	55744	47020	84.35
54	57100	47880	83.85
55	58468	48748	83.38
56	59844	49616	82.91
57	61236	50496	82.46
58	62652	51356	81.97
59	64080	52220	81.49
60	65516	53088	81.03
61	66968	53956	80.57
62	68428	54832	80.13
63	69908	55708	79.69
64	71404	56576	79.23
65	72904	57460	78.82
66	74424	58332	78.38
67	75960	59212	77.95
68	77508	60088	77.52
69	79076	60976	77.11
70	80648	61864	76.71
71	82236	62744	76.30
72	83836	63636	75.91
73	85456	64524	75.51
74	87088	65396	75.09
75	88728	66292	74.71
76	90396	67172	74.31
77	92064	68072	73.94
78	93744	68960	73.56
79	95448	69848	73.18
80	97164	70740	72.80
81	98888	71636	72.44
82	100632	72520	72.06
83	102392	73404	71.69
84	104160	74288	71.32
85	105944	75180	70.96
86	107736	76064	70.60
87	109552	76960	70.25
88	111368	77852	69.91
89	113204	78752	69.57
90	115068	79640	69.21
91	116928	80532	68.87
92	118808	81420	68.53
93	120704	82316	68.20
94	122612	83212	67.87
95	122728	83312	67.88
96	122732	83352	67.91
97	122728	83432	67.98
98	122728	83428	67.98
99	122724	83468	68.01



